wdir,vwind,Hora,Fecha
59.48,1.898,00:10,01/01/2005
60.02,1.759,00:20,01/01/2005
60.02,0.893,00:30,01/01/2005
68.45,1.016,00:40,01/01/2005
272.3,1.092,00:50,01/01/2005
283.8,1.251,01:00,01/01/2005
272.5,1.347,01:10,01/01/2005
268.3,0.333,01:20,01/01/2005
289.7,0.032,01:30,01/01/2005
296.3,0.651,01:40,01/01/2005
297.7,1.12,01:50,01/01/2005
0.0,1.541,02:00,01/01/2005
322.2,1.28,02:10,01/01/2005
321.1,2.627,02:20,01/01/2005
317.5,2.666,02:30,01/01/2005
1.195,1.242,02:40,01/01/2005
70.9,0.523,02:50,01/01/2005
340.0,1.516,03:00,01/01/2005
311.6,1.806,03:10,01/01/2005
285.0,2.908,03:20,01/01/2005
283.1,2.528,03:30,01/01/2005
279.0,1.374,03:40,01/01/2005
278.6,0.102,03:50,01/01/2005
0.0,0.0,04:00,01/01/2005
278.6,0.0,04:10,01/01/2005
278.6,0.0,04:20,01/01/2005
278.6,0.0,04:30,01/01/2005
291.5,0.104,04:40,01/01/2005
59.98,2.114,04:50,01/01/2005
31.31,1.098,05:00,01/01/2005
4.404,0.321,05:10,01/01/2005
349.8,0.729,05:20,01/01/2005
349.9,0.195,05:30,01/01/2005
349.8,0.0,05:40,01/01/2005
0.0,0.0,05:50,01/01/2005
0.0,0.366,06:00,01/01/2005
45.97,0.0,06:10,01/01/2005
0.0,0.003,06:20,01/01/2005
0.0,0.841,06:30,01/01/2005
307.5,0.881,06:40,01/01/2005
280.6,2.517,06:50,01/01/2005
274.1,3.427,07:00,01/01/2005
0.0,2.752,07:10,01/01/2005
291.6,1.933,07:20,01/01/2005
0.0,1.95,07:30,01/01/2005
273.8,0.72,07:40,01/01/2005
0.0,0.0,07:50,01/01/2005
0.0,0.0,08:00,01/01/2005
233.3,0.0,08:10,01/01/2005
0.0,0.027,08:20,01/01/2005
97.7,1.329,08:30,01/01/2005
77.2,1.283,08:40,01/01/2005
80.5,0.796,08:50,01/01/2005
10.83,0.037,09:00,01/01/2005
340.3,0.029,09:10,01/01/2005
0.0,0.0,09:20,01/01/2005
258.0,0.0,09:30,01/01/2005
0.0,0.0,09:40,01/01/2005
239.8,0.489,09:50,01/01/2005
232.5,1.067,10:00,01/01/2005
246.4,0.491,10:10,01/01/2005
201.8,0.421,10:20,01/01/2005
257.1,0.401,10:30,01/01/2005
265.2,0.81,10:40,01/01/2005
256.2,1.902,10:50,01/01/2005
271.4,1.727,11:00,01/01/2005
259.3,1.191,11:10,01/01/2005
248.3,0.706,11:20,01/01/2005
229.4,1.276,11:30,01/01/2005
295.6,0.381,11:40,01/01/2005
123.1,1.536,11:50,01/01/2005
96.6,2.756,12:00,01/01/2005
122.7,3.241,12:10,01/01/2005
76.1,2.476,12:20,01/01/2005
65.35,2.301,12:30,01/01/2005
32.12,2.11,12:40,01/01/2005
327.0,2.168,12:50,01/01/2005
290.5,2.273,13:00,01/01/2005
125.3,1.171,13:10,01/01/2005
145.4,3.533,13:20,01/01/2005
60.15,4.091,13:30,01/01/2005
30.13,3.673,13:40,01/01/2005
59.88,2.926,13:50,01/01/2005
86.3,5.091,14:00,01/01/2005
73.2,3.755,14:10,01/01/2005
74.6,5.386,14:20,01/01/2005
86.8,4.938,14:30,01/01/2005
102.2,5.308,14:40,01/01/2005
92.5,6.347,14:50,01/01/2005
100.3,5.81,15:00,01/01/2005
98.9,5.573,15:10,01/01/2005
85.9,4.58,15:20,01/01/2005
86.1,4.462,15:30,01/01/2005
83.3,5.16,15:40,01/01/2005
91.0,6.559,15:50,01/01/2005
96.9,7.67,16:00,01/01/2005
101.4,8.15,16:10,01/01/2005
102.8,8.57,16:20,01/01/2005
97.5,8.71,16:30,01/01/2005
97.5,7.39,16:40,01/01/2005
93.7,7.32,16:50,01/01/2005
95.8,7.57,17:00,01/01/2005
102.0,7.67,17:10,01/01/2005
103.4,7.05,17:20,01/01/2005
111.4,5.603,17:30,01/01/2005
90.6,5.831,17:40,01/01/2005
111.3,3.912,17:50,01/01/2005
115.4,2.796,18:00,01/01/2005
124.7,2.844,18:10,01/01/2005
100.4,2.593,18:20,01/01/2005
47.9,3.947,18:30,01/01/2005
83.5,4.567,18:40,01/01/2005
63.25,4.21,18:50,01/01/2005
78.8,4.292,19:00,01/01/2005
62.43,3.041,19:10,01/01/2005
32.76,4.615,19:20,01/01/2005
33.96,4.312,19:30,01/01/2005
43.28,3.907,19:40,01/01/2005
45.81,3.437,19:50,01/01/2005
42.56,3.447,20:00,01/01/2005
46.42,2.417,20:10,01/01/2005
53.26,1.242,20:20,01/01/2005
67.5,0.775,20:30,01/01/2005
83.2,0.727,20:40,01/01/2005
80.8,0.223,20:50,01/01/2005
100.2,2.793,21:00,01/01/2005
99.2,3.103,21:10,01/01/2005
104.0,2.247,21:20,01/01/2005
71.4,1.045,21:30,01/01/2005
72.9,1.408,21:40,01/01/2005
120.1,0.713,21:50,01/01/2005
106.6,1.224,22:00,01/01/2005
98.3,0.612,22:10,01/01/2005
0.0,1.23,22:20,01/01/2005
321.4,1.089,22:30,01/01/2005
302.0,1.117,22:40,01/01/2005
289.8,0.817,22:50,01/01/2005
252.5,1.01,23:00,01/01/2005
47.77,0.751,23:10,01/01/2005
63.42,0.823,23:20,01/01/2005
351.2,1.154,23:30,01/01/2005
306.9,1.132,23:40,01/01/2005
207.3,2.282,23:50,01/01/2005
138.8,2.207,00:00,01/01/2005
180.2,1.762,00:10,02/01/2005
166.8,1.284,00:20,02/01/2005
263.8,1.892,00:30,02/01/2005
288.8,2.175,00:40,02/01/2005
294.0,2.556,00:50,02/01/2005
309.1,1.697,01:00,02/01/2005
0.0,0.624,01:10,02/01/2005
0.0,0.003,01:20,02/01/2005
289.3,0.737,01:30,02/01/2005
263.3,0.304,01:40,02/01/2005
0.0,0.094,01:50,02/01/2005
123.8,0.86,02:00,02/01/2005
0.0,0.268,02:10,02/01/2005
0.0,0.424,02:20,02/01/2005
0.0,0.815,02:30,02/01/2005
0.0,1.563,02:40,02/01/2005
65.96,1.429,02:50,02/01/2005
67.27,0.901,03:00,02/01/2005
0.0,1.613,03:10,02/01/2005
