Estado,PwG1,PwG2,G1+G2,Slider
1,0.0,0.0,0.0,0.10997499999999998
2,0.0,0.0,0.0,0.10997499999999998
3,0.0,0.0,0.0,0.10997499999999998
4,0.0,0.0,0.0,0.10997499999999998
5,1289600.0,1190400.0,2480000.0,0.09757499999999998
6,1289600.0,1190400.0,2480000.0,0.09757499999999998
7,6104800.0,5635200.0,11740000.0,0.05127499999999998
8,7376200.0,6808800.0,14185000.0,0.03904999999999998
9,9211800.0,8503200.0,17715000.0,0.02139999999999998
10,12480000.0,11520000.0,24000000.0,-0.010025000000000018
11,12966200.0,11968800.0,24935000.0,-0.014700000000000019
12,19463600.0,17966400.0,37430000.0,-0.07717500000000002
13,24554400.0,22665600.0,47220000.0,-0.12612500000000001
14,26000000.0,24000000.0,50000000.0,-0.140025
15,26000000.0,24000000.0,50000000.0,-0.140025
